国家(中文别名)	国家(英文别名)	国家(中文标准)	国家(英文标准)
马来西亚	Malaysia	马来西亚	Malaysia
毛里求斯	Mauritius	毛里求斯	Mauritius
墨西哥	Mexico	墨西哥	Mexico
	Micronesia	密克罗尼西亚联邦	Micronesia_Federated_States_of
蒙古	Mongolia	蒙古	Mongolia
摩洛哥	Morocco	摩洛哥	Morocco
缅甸	Myanmar	缅甸	Myanmar
纳米比亚	Namibia	纳米比亚	Namibia
瑙鲁	Nauru	瑙鲁	Nauru
尼泊尔	Nepal	尼泊尔	Nepal
荷兰	Netherlands	荷兰	Netherlands
尼加拉瓜	Nicaragua	尼加拉瓜	Nicaragua
	Niger		Niger
尼日利亚	Nigeria	尼日利亚	Nigeria
朝鲜	NorthKorea	朝鲜民主主义人民共和国	North_Korea
朝鲜	North_Korea	朝鲜民主主义人民共和国	North_Korea
朝鲜	NorthKorea	朝鲜	North_Korea
挪威	Norway	挪威	Norway
巴基斯坦	Pakistan	巴基斯坦	Pakistan
帕劳群岛	Palau	帕劳群岛	Palau
	Palestine	巴勒斯坦	Palestine
巴布亚新几内亚	Papua New Guinea	巴布亚新几内亚	Papua_New_Guinea
巴布亚新几内亚	Papua_New_Guinea	巴布亚新几内亚	Papua_New_Guinea
巴布亚新几内亚	PapuaNewGuinea	巴布亚新几内亚	Papua_New_Guinea
巴布亚新几内亚	PNG	巴布亚新几内亚	Papua_New_Guinea
秘鲁	Peru	秘鲁	Peru
菲律宾	Philippines	菲律宾	Philippines
波兰	Poland	波兰	Poland
葡萄牙	Portugal	葡萄牙	Portugal
	Puerto_Rico	波多黎各	Puerto_Rico
	Puerto Rico	波多黎各	Puerto_Rico
	PuertoRico	波多黎各	Puerto_Rico
罗马尼亚	Romania	罗马尼亚	Romania
俄罗斯	Russia	俄罗斯	Russia
萨摩亚	Samoa	萨摩亚	Samoa
沙特阿拉伯	SaudiArabia	沙特阿拉伯	SaudiArabia
塞内加尔	Senegal	塞内加尔	Senegal
	Serbia	塞尔维亚	Serbia
塞尔维亚黑山	Serbia and Montenegro	塞尔维亚黑山	Serbia_and_Montenegro
塞尔维亚黑山	Serbia_and_Montenegro	塞尔维亚黑山	Serbia_and_Montenegro
塞拉利昂	Sierra_Leone	塞拉利昂	Sierra_Leone
塞拉利昂	Sierra Leone	塞拉利昂	Sierra_Leone
塞拉利昂	SierraLeone	塞拉利昂	Sierra_Leone
新加坡	Singapore	新加坡	Singapore
	Slovakia	斯洛伐克	Slovakia
所罗门群岛	Solomon Islands	所罗门群岛	Solomon_Islands
所罗门群岛	SolomonIslands	所罗门群岛	Solomon_Islands
所罗门群岛	Solomon_Islands	所罗门群岛	Solomon_Islands
索马里	Somalia	索马里	Somalia
南非	South Africa	南非共和国	South_Africa
南非	South_Africa	南非共和国	South_Africa
韩国	Korea	韩国	South_Korea
韩国	South_Korea	韩国	South_Korea
韩国	SouthKorea	韩国	South_Korea
西班牙	Spain	西班牙	Spain
斯里兰卡	Sri Lanka	斯里兰卡	Sri_Lanka
斯里兰卡	Sri_Lanka	斯里兰卡	Sri_Lanka
斯里兰卡	SriLanka	斯里兰卡	Sri_Lanka
苏丹	Sudan	苏丹	Sudan
瑞典	Sweden	瑞典	Sweden
瑞士	Switzerland	瑞士	Switzerland
叙利亚	Syria	叙利亚	Syria
塔吉克斯坦	Tajikistan	塔吉克斯坦	Tajikistan
坦桑尼亚	Tanzania	坦桑尼亚	Tanzania
泰国	Thailand	泰国	Thailand
	Tunisia		Tunisia
土耳其	Turkey	土耳其	Turkiye
土库曼斯坦	Turkmenistan	土库曼斯坦	Turkmenistan
乌克兰	Ukraine	乌克兰	Ukraine
阿拉伯联合酋长国	United Arab Emirates	阿拉伯联合酋长国	United_Arab_Emirates
阿拉伯联合酋长国	United_Arab_Emirates	阿拉伯联合酋长国	United_Arab_Emirates
英国	England	英国	United_Kingdom
英国	UK	英国	United_Kingdom
英国	United Kingdom	英国	United_Kingdom
英国	United_Kingdom	英国	United_Kingdom
美国	America	美国	United_States
美国	United States	美国	United_States
美国	United_States	美国	United_States
美国	US	美国	United_States
美国	USA	美国	United_States
乌拉圭	Uruguay	乌拉圭	Uruguay
乌兹别克斯坦	Uzbekistan	乌兹别克斯坦	Uzbekistan
瓦努阿图	Vanuatu	瓦努阿图	Vanuatu
委内瑞拉	Venezuela	委内瑞拉	Venezuela
越南	Vietnam	越南	Vietnam
也门	Yemen	也门	Yemen
赞比亚	Zambia	赞比亚	Zambia
