genus,sample,rel_abundance,top
Prevotella,C14,0.0016035444103665837,0.0016035444103665837
Prevotella,C15,0.3697826408457875,0.3697826408457875
Prevotella,C16,0.33446244440076434,0.33446244440076434
Prevotella,C17,0.48970904422079486,0.48970904422079486
Prevotella,C18,0.08179640062200969,0.08179640062200969
Prevotella,C19,0.24732782687879795,0.24732782687879795
Prevotella,C20,0.4304016618108603,0.4304016618108603
Prevotella,C21,0.07925236760918722,0.07925236760918722
Prevotella,C22,0.2762446785557206,0.2762446785557206
Prevotella,C23,0.2181631621310592,0.2181631621310592
Prevotella,C24,0.6635362101711342,0.6635362101711342
Prevotella,C25,0.07573368312951453,0.07573368312951453
Prevotella,C26,0.35262784209768816,0.35262784209768816
Prevotella,C27,0.11043748418741789,0.11043748418741789
Prevotella,C28,0.5398455138112771,0.5398455138112771
Prevotella,C29,0.09138490178619467,0.09138490178619467
Prevotella,C30,0.6500877227837771,0.6500877227837771
Prevotella,C31,0.15127898319264169,0.15127898319264169
Prevotella,C32,0.37996736828495936,0.37996736828495936
Prevotella,C33,0.2807563066966047,0.2807563066966047
Bacteroides,A1,0.03552951499024574,0.6469011585155264
Bacteroides,A2,0.11847285081726588,0.7032958304831517
Bacteroides,A4,0.03282144394861303,0.7803563978385162
Bacteroides,A6,0.3477837394142025,0.0013637243321521285
Bacteroides,A9,0.21423283478967564,6.924706476635407e-4
Bacteroides,A10,0.05465353617401475,0.28725665134402006
Bacteroides,A11,0.8313195155769227,7.908701785595698e-4
Bacteroides,A12,0.033149568212362944,0.5343077769042063
Bacteroides,A13,0.15099597574316273,0.06640257144590697
Bacteroides,A15,0.4356236755509102,0.001179819175256695
Bacteroides,A16,0.0375928924441437,0.7207789069202605
Bacteroides,A17,0.04819498568916318,0.6682462094556149
Bacteroides,A18,0.0010306809719930659,0.0010862159258721825
Bacteroides,A19,0.0354613880397096,0.08767117367793006
Bacteroides,A21,0.04264144793051109,0.45560320978609015
Bacteroides,A22,0.4289304397500395,0.0011328455351445792
Bacteroides,A24,0.07175112635504485,0.4134039022334909
Bacteroides,A25,0.38093156500943115,0.11317513598635391
Bacteroides,A26,0.1140615669645674,0.08217753152373802
Bacteroides,A27,0.13665064143001118,0.18184722640705683
Bacteroides,A28,0.3141698342872525,0.017990562532048154
Bacteroides,A29,0.07527526900016568,0.11782184867929091
Bacteroides,A30,0.06350915880200023,0.08575328773705222
Bacteroides,A31,0.5799216257830668,5.467040590550891e-4
Bacteroides,A32,0.028471435622850944,0.09309190350511387
Bacteroides,A33,0.03960869911750942,0.41347520416916234
Bacteroides,A34,0.2333296984897225,0.01614779274121731
Bacteroides,A35,0.04963527563162994,0.033993972498944175
Bacteroides,A36,0.2946675877214266,0.061086245169933655
Bacteroides,A37,0.47025670019551624,8.295923787461853e-4
Bacteroides,A38,0.6794203398020523,5.558129600519603e-4
Bacteroides,A39,0.6408682431709006,0.001316770718346064
Bacteroides,A41,0.06146875059570439,0.48399790493601796
Bacteroides,A42,0.029743159171673236,0.43348202104841455
Bacteroides,A43,0.12434856400831043,7.434720897573577e-4
Bacteroides,A44,0.13096356770726317,0.449675888509909
Bacteroides,A45,0.2228005075555129,0.30447312795638104
Bacteroides,A46,0.23472442860479836,5.926943994013932e-4
Bacteroides,A47,0.19606151541529968,0.015815880089582283
Bacteroides,A48,0.11726361626074534,0.6069694169716872
Bacteroides,A49,0.34294305695622657,0.007480703697112311
Bacteroides,A50,0.13401928392403006,0.09521337787717313
Bacteroides,A51,0.23823947574450388,0.2692536963598802
Bacteroides,A52,0.22619609549529948,0.43056552728786224
Bacteroides,A53,0.3924124510889161,0.0034281601575817267
Bacteroides,A54,0.024831243972999035,0.39143611828195285
Bacteroides,A55,0.044102156442501886,0.4061668721892793
Bacteroides,A56,0.0632107867054255,0.5211196153438393
Bacteroides,A57,0.2654005472969947,0.00432699977532174
Bacteroides,A58,0.04815437066006773,0.19774113083623407
Bacteroides,A59,0.04682397068230335,0.37404109606456637
Bacteroides,A60,0.023489258445289766,0.32678411568779064
Bacteroides,A61,0.03236990937861064,0.4664418942098959
Bacteroides,A62,0.027840367368441622,0.5284172911650201
Bacteroides,A63,0.05199852402811978,0.18032092415611828
Bacteroides,A64,0.10634781563132993,0.06485544748930246
Bacteroides,A66,0.2313810429047676,7.08972819148674e-4
Bacteroides,A67,0.15998993265213943,0.14263499347195413
Bacteroides,A68,0.11418418029526249,0.03492672344886814
Bacteroides,A69,0.2989886499674198,0.017469654952948128
Bacteroides,A70,0.07095486170285693,0.0614276528414842
Bacteroides,A71,0.12665379902877597,0.04323759079249022
Bacteroides,A72,0.03171966221936243,0.5870883562523053
Bacteroides,A73,0.2171395876198063,0.023405336527531812
Bacteroides,A75,0.055743726921803245,0.06486794021932639
Bacteroides,A77,0.07698365614034354,0.19067847891648732
Bacteroides,A78,0.1322910442029014,0.007443527483443278
Bacteroides,A79,0.027375926142153534,0.351068579632303
Bacteroides,B1,0.12800033710335065,0.15879058979012467
Bacteroides,B2,0.08168617409574017,0.3185640659268367
Bacteroides,B4,0.019891897906431345,0.1660421338537298
Bacteroides,B5,0.0850550488079315,0.1442824558039769
Bacteroides,B7,0.017146778107425452,0.7569585702331458
Bacteroides,B8,0.027714525920197224,0.3625550015152845
Bacteroides,B9,0.5648923811014501,0.026117633360898944
Bacteroides,B10,0.6605286844548948,0.0021081705731400674
Bacteroides,B11,0.017396120664232087,0.27043285413826135
Bacteroides,B12,0.04293890225317151,0.6003291954279735
Bacteroides,B13,0.09268755155562501,0.1667560183986081
Bacteroides,B14,0.039387331062109246,0.053898674703305754
Bacteroides,B15,0.36027535735159133,0.001415337283006098
Bacteroides,B16,0.014665237272276737,0.22780701331072742
Bacteroides,B17,0.08902386800920215,0.18980517627080934
Bacteroides,B18,0.13842932846582978,0.03431682827315499
Bacteroides,B20,0.07129437072756391,0.6026654681339082
Bacteroides,B22,0.10034693037219057,0.4103282199359661
Bacteroides,B23,0.059501459515404836,0.44181575669493994
Bacteroides,B24,0.09059202433363289,0.08834152314375082
Bacteroides,B25,0.029203017768517154,0.5133933342991902
Bacteroides,B26,0.04413167925454596,0.5705518197107603
Bacteroides,B27,0.021282869569995647,0.360151154582613
Bacteroides,B28,0.07243772894793636,0.3062185435312653
Bacteroides,B29,0.025614721568086904,0.5136956705233332
Bacteroides,B30,0.3046079958306703,0.0013675926472713025
Bacteroides,B31,0.16308172182289032,0.33906706782879714
Bacteroides,B32,0.17207650562561105,0.0012063350488209224
Bacteroides,B33,0.06916419507770415,0.4116649210559803
Bacteroides,B34,0.2095883434391879,0.05668824866111701
Bacteroides,B36,0.5316220907122012,8.390544338507416e-4
Bacteroides,B37,0.3862335755227975,0.008526422222749219
Bacteroides,B38,0.05629784516371144,0.7931257032783602
Bacteroides,B39,0.5735513936141114,9.470121255387038e-4
Bacteroides,B40,0.023463883886995888,0.49279830579120626
Bacteroides,B41,0.0274467899093829,0.37134877157342217
Bacteroides,B42,0.039153575985827374,0.33271968185928963
Bacteroides,B43,0.0528156145673501,0.2690692712725694
Bacteroides,B44,0.026185640924213636,0.41710402701156324
Bacteroides,B45,0.03421919891277424,0.05937718971745111
Bacteroides,B46,0.04639550309417432,0.016538983923334867
Bacteroides,B47,0.05213561626549375,0.11323410210440993
Bacteroides,B48,0.07817486341105795,0.4836337751278087
Bacteroides,B49,0.09742910684837404,0.016553447044073646
Bacteroides,B50,0.09157336727204757,0.024207676709923867
Bacteroides,B52,0.07605707112024183,0.34102198258010374
Bacteroides,B55,0.020316415619079226,0.6703928008409971
Bacteroides,B56,0.09064581874675666,0.32355024849460384
Bacteroides,B57,0.07165610020102056,0.32116255477937866
Bacteroides,B58,0.060118862449426116,0.33637404964446466
Bacteroides,B59,0.15612144571309244,0.07618423626481913
Bacteroides,B61,0.29755431722870107,0.2310413052220371
Bacteroides,B62,0.06868280280051456,0.4344219311099873
Bacteroides,B63,0.07508771897205009,0.34692159108049647
Bacteroides,B65,0.018062152561686733,0.41222149773725614
Bacteroides,B66,0.031266062384767465,0.4374537437429184
Bacteroides,B67,0.01915944802327264,0.6000333072198077
Bacteroides,B68,0.06655474823698262,0.4014457060055919
Bacteroides,B69,0.028374123514836265,0.6070150354985974
Bacteroides,B70,0.0947768777457714,0.372816453575293
Bacteroides,B71,0.04605614185716765,0.014592179076163269
Bacteroides,B72,0.03287036934172608,0.40760645798961975
Bacteroides,B73,0.04996948919362713,0.09657502329916123
Bacteroides,B74,0.048422852965964006,0.07254941397167182
Bacteroides,B75,0.02520535551970381,0.5356290572821633
Bacteroides,B76,0.05066337172402184,0.1129742626253766
Bacteroides,B77,0.031029590955120395,0.5736300224315118
Bacteroides,B78,0.05088405863348762,0.7558321623052321
Bacteroides,B79,0.08969689709932646,0.07638513700976873
Bacteroides,C1,0.11837249289801165,0.08963609017038178
Bacteroides,C2,0.09215666826544908,0.02803696183253622
Bacteroides,C3,0.13848544675801605,0.05646986573028636
Bacteroides,C4,0.035429452848744644,0.01255682183976688
Bacteroides,C5,0.021315369872065715,0.6866634594128418
Bacteroides,C6,0.02165116159097553,0.7093944790957842
Bacteroides,C8,0.09455498588710323,0.16830594029019544
Bacteroides,C9,0.12523278327668944,0.018321401021382737
Bacteroides,C10,0.03951112851233311,0.6779294408245177
Bacteroides,C11,0.07091154730832609,0.514697688585565
Bacteroides,C12,0.01909130618671325,0.3209970321144655
Bacteroides,C13,0.042529911315819985,0.290399219937027
Bacteroides,C14,0.35516620886917866,0.0016035444103665837
Bacteroides,C15,0.02402081997282329,0.3697826408457875
Bacteroides,C16,0.06390827724860479,0.33446244440076434
Bacteroides,C17,0.05420477974518442,0.48970904422079486
Bacteroides,C18,0.1182183234368571,0.08179640062200969
Bacteroides,C19,0.09867063068199441,0.24732782687879795
Bacteroides,C20,0.024021573999106836,0.4304016618108603
Bacteroides,C21,0.08246481419198885,0.07925236760918722
Bacteroides,C22,0.057743202797164106,0.2762446785557206
Bacteroides,C23,0.056748656280557974,0.2181631621310592
Bacteroides,C24,0.03963586825202234,0.6635362101711342
Bacteroides,C25,0.1640688317511578,0.07573368312951453
Bacteroides,C26,0.032846875658958316,0.35262784209768816
Bacteroides,C27,0.03228418569230625,0.11043748418741789
Bacteroides,C28,0.03401964444988145,0.5398455138112771
Bacteroides,C29,0.04444507285675645,0.09138490178619467
Bacteroides,C30,0.04973239966133504,0.6500877227837771
Bacteroides,C31,0.08249328654735662,0.15127898319264169
Bacteroides,C32,0.03113051047146637,0.37996736828495936
Bacteroides,C33,0.05529267948037106,0.2807563066966047
Faecalibacterium,A1,0.11670718987644599,0.6469011585155264
Faecalibacterium,A2,0.028804008390468178,0.7032958304831517
Faecalibacterium,A4,0.026330984716747493,0.7803563978385162
Faecalibacterium,A6,0.02938196960900118,0.0013637243321521285
Faecalibacterium,A9,0.13368069740399618,6.924706476635407e-4
Faecalibacterium,A10,0.07203826065712686,0.28725665134402006
Faecalibacterium,A11,0.014785046315209058,7.908701785595698e-4
Faecalibacterium,A12,0.07045646121631607,0.5343077769042063
Faecalibacterium,A13,0.15499474214993472,0.06640257144590697
Faecalibacterium,A15,0.06681894657058103,0.001179819175256695
Faecalibacterium,A16,0.06160294597435866,0.7207789069202605
Faecalibacterium,A17,0.0332406270110058,0.6682462094556149
Faecalibacterium,A18,0.002820936797042435,0.0010862159258721825
Faecalibacterium,A19,0.042308229237522324,0.08767117367793006
Faecalibacterium,A21,0.055379402506799354,0.45560320978609015
Faecalibacterium,A22,0.011115028688353724,0.0011328455351445792
Faecalibacterium,A24,0.096727933974712,0.4134039022334909
Faecalibacterium,A25,0.012326332492483822,0.11317513598635391
Faecalibacterium,A26,0.015189188151152997,0.08217753152373802
Faecalibacterium,A27,0.10133488390732773,0.18184722640705683
Faecalibacterium,A28,0.07924829647406288,0.017990562532048154
Faecalibacterium,A29,0.13699687006049424,0.11782184867929091
Faecalibacterium,A30,0.01476589888540227,0.08575328773705222
Faecalibacterium,A31,0.08972177951096846,5.467040590550891e-4
Faecalibacterium,A32,0.02207483080813179,0.09309190350511387
Faecalibacterium,A33,0.20874851741109793,0.41347520416916234
Faecalibacterium,A34,0.03323891394334663,0.01614779274121731
Faecalibacterium,A35,0.09517846495913349,0.033993972498944175
Faecalibacterium,A36,0.06727101370259256,0.061086245169933655
Faecalibacterium,A37,0.01689026869202055,8.295923787461853e-4
Faecalibacterium,A38,0.04365767705730628,5.558129600519603e-4
Faecalibacterium,A39,0.013103466896235177,0.001316770718346064
Faecalibacterium,A41,0.053421862192355556,0.48399790493601796
Faecalibacterium,A42,0.1398207416788467,0.43348202104841455
Faecalibacterium,A43,0.04579357074592421,7.434720897573577e-4
Faecalibacterium,A44,0.03416602361851187,0.449675888509909
Faecalibacterium,A45,0.0700016755939902,0.30447312795638104
Faecalibacterium,A46,0.10577293068237881,5.926943994013932e-4
Faecalibacterium,A47,0.029711954660711793,0.015815880089582283
Faecalibacterium,A48,0.01400776242430372,0.6069694169716872
Faecalibacterium,A49,0.048551936880821024,0.007480703697112311
Faecalibacterium,A50,0.04136042776811434,0.09521337787717313
Faecalibacterium,A51,0.16231072112887288,0.2692536963598802
Faecalibacterium,A52,0.02246028255080854,0.43056552728786224
Faecalibacterium,A53,0.08495832474013466,0.0034281601575817267
Faecalibacterium,A54,0.011467024443419562,0.39143611828195285
Faecalibacterium,A55,0.038622918907986734,0.4061668721892793
Faecalibacterium,A56,0.04790091808030749,0.5211196153438393
Faecalibacterium,A57,0.01459779445159442,0.00432699977532174
Faecalibacterium,A58,0.11537121120651403,0.19774113083623407
Faecalibacterium,A59,0.08546345404108154,0.37404109606456637
Faecalibacterium,A60,0.09988624590614202,0.32678411568779064
Faecalibacterium,A61,0.0675064581566592,0.4664418942098959
Faecalibacterium,A62,0.027019992124730302,0.5284172911650201
Faecalibacterium,A63,0.09580028764974892,0.18032092415611828
Faecalibacterium,A64,0.0562255158745841,0.06485544748930246
Faecalibacterium,A66,0.12491764249696448,7.08972819148674e-4
Faecalibacterium,A67,0.055440075684883024,0.14263499347195413
Faecalibacterium,A68,0.13603051888423345,0.03492672344886814
Faecalibacterium,A69,0.023856586504220272,0.017469654952948128
Faecalibacterium,A70,0.1336260265101279,0.0614276528414842
Faecalibacterium,A71,0.1548838005748875,0.04323759079249022
Faecalibacterium,A72,0.06868022143902872,0.5870883562523053
Faecalibacterium,A73,0.18057060000114625,0.023405336527531812
Faecalibacterium,A75,0.020624614585295853,0.06486794021932639
Faecalibacterium,A77,0.14512765621288837,0.19067847891648732
Faecalibacterium,A78,0.015179979091726912,0.007443527483443278
Faecalibacterium,A79,0.12538478685461957,0.351068579632303
Faecalibacterium,B1,0.11431012100870973,0.15879058979012467
Faecalibacterium,B2,0.04524787078284066,0.3185640659268367
Faecalibacterium,B4,0.13154603968023007,0.1660421338537298
Faecalibacterium,B5,0.051683547078895525,0.1442824558039769
Faecalibacterium,B7,0.011778013712902234,0.7569585702331458
Faecalibacterium,B8,0.06863534968294949,0.3625550015152845
Faecalibacterium,B9,0.011316009790553966,0.026117633360898944
Faecalibacterium,B10,0.09276932441299955,0.0021081705731400674
Faecalibacterium,B11,0.10369267547056708,0.27043285413826135
Faecalibacterium,B12,0.04284300897986722,0.6003291954279735
Faecalibacterium,B13,0.036632004681187505,0.1667560183986081
Faecalibacterium,B14,0.016012129834150724,0.053898674703305754
Faecalibacterium,B15,0.10729206113295159,0.001415337283006098
Faecalibacterium,B16,0.06957312022641923,0.22780701331072742
Faecalibacterium,B17,0.05891184529049199,0.18980517627080934
Faecalibacterium,B18,0.08538699785845091,0.03431682827315499
Faecalibacterium,B20,0.032277460163478267,0.6026654681339082
Faecalibacterium,B22,0.05556666895834396,0.4103282199359661
Faecalibacterium,B23,0.02442644728557962,0.44181575669493994
Faecalibacterium,B24,0.23282294194909597,0.08834152314375082
Faecalibacterium,B25,0.0501147546968644,0.5133933342991902
Faecalibacterium,B26,0.03670210932896594,0.5705518197107603
Faecalibacterium,B27,0.070964709462801,0.360151154582613
Faecalibacterium,B28,0.05356591365565077,0.3062185435312653
Faecalibacterium,B29,0.03571359430428611,0.5136956705233332
Faecalibacterium,B30,0.07692986498018778,0.0013675926472713025
Faecalibacterium,B31,0.0799685975642946,0.33906706782879714
Faecalibacterium,B32,0.23969913216363978,0.0012063350488209224
Faecalibacterium,B33,0.05650509163640398,0.4116649210559803
Faecalibacterium,B34,0.08638233245406689,0.05668824866111701
Faecalibacterium,B36,0.11811984433700448,8.390544338507416e-4
Faecalibacterium,B37,0.16945064949504252,0.008526422222749219
Faecalibacterium,B38,0.01719183855683981,0.7931257032783602
Faecalibacterium,B39,0.13716840529729396,9.470121255387038e-4
Faecalibacterium,B40,0.01494882020284835,0.49279830579120626
Faecalibacterium,B41,0.0686103328764326,0.37134877157342217
Faecalibacterium,B42,0.07082750034068806,0.33271968185928963
Faecalibacterium,B43,0.10467105849676261,0.2690692712725694
Faecalibacterium,B44,0.05169387365878123,0.41710402701156324
Faecalibacterium,B45,0.05414041213379977,0.05937718971745111
Faecalibacterium,B46,0.06535705368264356,0.016538983923334867
Faecalibacterium,B47,0.019332203311471844,0.11323410210440993
Faecalibacterium,B48,0.06320283423374631,0.4836337751278087
Faecalibacterium,B49,0.03723598947710789,0.016553447044073646
Faecalibacterium,B50,0.053315575982312284,0.024207676709923867
Faecalibacterium,B52,0.06626958415034881,0.34102198258010374
Faecalibacterium,B55,0.030182137560844823,0.6703928008409971
Faecalibacterium,B56,0.13291485759840918,0.32355024849460384
Faecalibacterium,B57,0.09443905406484655,0.32116255477937866
Faecalibacterium,B58,0.09240382289859247,0.33637404964446466
Faecalibacterium,B59,0.08332721661584286,0.07618423626481913
Faecalibacterium,B61,0.029083165776220294,0.2310413052220371
Faecalibacterium,B62,0.10628501946119676,0.4344219311099873
Faecalibacterium,B63,0.03007603899075479,0.34692159108049647
Faecalibacterium,B65,0.04219740002004362,0.41222149773725614
Faecalibacterium,B66,0.05817650793205269,0.4374537437429184
Faecalibacterium,B67,0.039165298617313764,0.6000333072198077
Faecalibacterium,B68,0.05118378062748375,0.4014457060055919
Faecalibacterium,B69,0.03907161445752346,0.6070150354985974
Faecalibacterium,B70,0.03212845850485785,0.372816453575293
Faecalibacterium,B71,0.02176756472066154,0.014592179076163269
Faecalibacterium,B72,0.034470629676719385,0.40760645798961975
Faecalibacterium,B73,0.054171844258051154,0.09657502329916123
Faecalibacterium,B74,0.08394064995073175,0.07254941397167182
Faecalibacterium,B75,0.036383918050990303,0.5356290572821633
Faecalibacterium,B76,0.025851753138664783,0.1129742626253766
Faecalibacterium,B77,0.013238051346033659,0.5736300224315118
Faecalibacterium,B78,0.0035253229604573426,0.7558321623052321
Faecalibacterium,B79,0.013701417263468671,0.07638513700976873
Faecalibacterium,C1,0.016340091948614355,0.08963609017038178
Faecalibacterium,C2,0.1017369524958021,0.02803696183253622
Faecalibacterium,C3,0.0806582112464522,0.05646986573028636
Faecalibacterium,C4,0.08153872999191797,0.01255682183976688
Faecalibacterium,C5,0.01448278328575256,0.6866634594128418
Faecalibacterium,C6,0.02021475369161645,0.7093944790957842
Faecalibacterium,C8,0.10518046620035014,0.16830594029019544
Faecalibacterium,C9,0.04144652403786973,0.018321401021382737
Faecalibacterium,C10,0.024781591730917065,0.6779294408245177
Faecalibacterium,C11,0.0651433587783019,0.514697688585565
Faecalibacterium,C12,0.07867920170480584,0.3209970321144655
Faecalibacterium,C13,0.07399242951576952,0.290399219937027
Faecalibacterium,C14,0.19130365447246378,0.0016035444103665837
Faecalibacterium,C15,0.0503002825055854,0.3697826408457875
Faecalibacterium,C16,0.07097344642355546,0.33446244440076434
